Time resolution is 1 ps
Time: 0 | rst: 1 | cke: 0 | xn:      0 | yn:           x
Time: 5000 | rst: 1 | cke: 0 | xn:      0 | yn:           0
Time: 20000 | rst: 0 | cke: 1 | xn:      0 | yn:           0
Time: 30000 | rst: 0 | cke: 1 | xn:     10 | yn:           0
Time: 55000 | rst: 0 | cke: 1 | xn:     10 | yn:        3280
Time: 75000 | rst: 0 | cke: 1 | xn:     10 | yn:        6527
Time: 95000 | rst: 0 | cke: 1 | xn:     10 | yn:        9741
Time: 115000 | rst: 0 | cke: 1 | xn:     10 | yn:       12923
Time: 135000 | rst: 0 | cke: 1 | xn:     10 | yn:       16073
Time: 155000 | rst: 0 | cke: 1 | xn:     10 | yn:       19192
Time: 175000 | rst: 0 | cke: 1 | xn:     10 | yn:       22279
Time: 195000 | rst: 0 | cke: 1 | xn:     10 | yn:       25335
Time: 215000 | rst: 0 | cke: 1 | xn:     10 | yn:       28361
Time: 235000 | rst: 0 | cke: 1 | xn:     10 | yn:       31357
Time: 255000 | rst: 0 | cke: 1 | xn:     10 | yn:       34323
Time: 275000 | rst: 0 | cke: 1 | xn:     10 | yn:       37259
Time: 295000 | rst: 0 | cke: 1 | xn:     10 | yn:       40166
Time: 315000 | rst: 0 | cke: 1 | xn:     10 | yn:       43043
Time: 335000 | rst: 0 | cke: 1 | xn:     10 | yn:       45892
Time: 355000 | rst: 0 | cke: 1 | xn:     10 | yn:       48712
Time: 375000 | rst: 0 | cke: 1 | xn:     10 | yn:       51504
Time: 395000 | rst: 0 | cke: 1 | xn:     10 | yn:       54268
Time: 415000 | rst: 0 | cke: 1 | xn:     10 | yn:       57004
Time: 435000 | rst: 0 | cke: 1 | xn:     10 | yn:       59713
Time: 455000 | rst: 0 | cke: 1 | xn:     10 | yn:       62395
Time: 475000 | rst: 0 | cke: 1 | xn:     10 | yn:       65050
Time: 495000 | rst: 0 | cke: 1 | xn:     10 | yn:       67678
Time: 515000 | rst: 0 | cke: 1 | xn:     10 | yn:       70280
Time: 535000 | rst: 0 | cke: 1 | xn:     10 | yn:       72856
Time: 555000 | rst: 0 | cke: 1 | xn:     10 | yn:       75406
Time: 575000 | rst: 0 | cke: 1 | xn:     10 | yn:       77931
Time: 595000 | rst: 0 | cke: 1 | xn:     10 | yn:       80430
Time: 615000 | rst: 0 | cke: 1 | xn:     10 | yn:       82904
Time: 635000 | rst: 0 | cke: 1 | xn:     10 | yn:       85354
Time: 655000 | rst: 0 | cke: 1 | xn:     10 | yn:       87779
Time: 675000 | rst: 0 | cke: 1 | xn:     10 | yn:       90180
Time: 695000 | rst: 0 | cke: 1 | xn:     10 | yn:       92557
Time: 715000 | rst: 0 | cke: 1 | xn:     10 | yn:       94910
Time: 735000 | rst: 0 | cke: 1 | xn:     10 | yn:       97239
Time: 755000 | rst: 0 | cke: 1 | xn:     10 | yn:       99545
Time: 775000 | rst: 0 | cke: 1 | xn:     10 | yn:      101828
Time: 795000 | rst: 0 | cke: 1 | xn:     10 | yn:      104088
Time: 815000 | rst: 0 | cke: 1 | xn:     10 | yn:      106326
Time: 835000 | rst: 0 | cke: 1 | xn:     10 | yn:      108541
Time: 855000 | rst: 0 | cke: 1 | xn:     10 | yn:      110734
Time: 875000 | rst: 0 | cke: 1 | xn:     10 | yn:      112905
Time: 895000 | rst: 0 | cke: 1 | xn:     10 | yn:      115054
Time: 915000 | rst: 0 | cke: 1 | xn:     10 | yn:      117182
Time: 935000 | rst: 0 | cke: 1 | xn:     10 | yn:      119289
Time: 955000 | rst: 0 | cke: 1 | xn:     10 | yn:      121374
Time: 975000 | rst: 0 | cke: 1 | xn:     10 | yn:      123439
Time: 995000 | rst: 0 | cke: 1 | xn:     10 | yn:      125483
Time: 1015000 | rst: 0 | cke: 1 | xn:     10 | yn:      127506
Time: 1035000 | rst: 0 | cke: 1 | xn:     10 | yn:      129509
Time: 1055000 | rst: 0 | cke: 1 | xn:     10 | yn:      131492
Time: 1075000 | rst: 0 | cke: 1 | xn:     10 | yn:      133455
Time: 1095000 | rst: 0 | cke: 1 | xn:     10 | yn:      135399
Time: 1115000 | rst: 0 | cke: 1 | xn:     10 | yn:      137323
Time: 1135000 | rst: 0 | cke: 1 | xn:     10 | yn:      139228
Time: 1155000 | rst: 0 | cke: 1 | xn:     10 | yn:      141114
Time: 1175000 | rst: 0 | cke: 1 | xn:     10 | yn:      142981
Time: 1195000 | rst: 0 | cke: 1 | xn:     10 | yn:      144829
Time: 1215000 | rst: 0 | cke: 1 | xn:     10 | yn:      146659
Time: 1235000 | rst: 0 | cke: 1 | xn:     10 | yn:      148470
Time: 1255000 | rst: 0 | cke: 1 | xn:     10 | yn:      150263
Time: 1275000 | rst: 0 | cke: 1 | xn:     10 | yn:      152038
Time: 1295000 | rst: 0 | cke: 1 | xn:     10 | yn:      153796
Time: 1315000 | rst: 0 | cke: 1 | xn:     10 | yn:      155536
Time: 1335000 | rst: 0 | cke: 1 | xn:     10 | yn:      157259
Time: 1355000 | rst: 0 | cke: 1 | xn:     10 | yn:      158964
Time: 1375000 | rst: 0 | cke: 1 | xn:     10 | yn:      160652
Time: 1395000 | rst: 0 | cke: 1 | xn:     10 | yn:      162323
Time: 1415000 | rst: 0 | cke: 1 | xn:     10 | yn:      163978
Time: 1435000 | rst: 0 | cke: 1 | xn:     10 | yn:      165616
Time: 1455000 | rst: 0 | cke: 1 | xn:     10 | yn:      167238
Time: 1475000 | rst: 0 | cke: 1 | xn:     10 | yn:      168843
Time: 1495000 | rst: 0 | cke: 1 | xn:     10 | yn:      170432
Time: 1515000 | rst: 0 | cke: 1 | xn:     10 | yn:      172006
Time: 1535000 | rst: 0 | cke: 1 | xn:     10 | yn:      173564
Time: 1555000 | rst: 0 | cke: 1 | xn:     10 | yn:      175106
Time: 1575000 | rst: 0 | cke: 1 | xn:     10 | yn:      176633
Time: 1595000 | rst: 0 | cke: 1 | xn:     10 | yn:      178144
Time: 1615000 | rst: 0 | cke: 1 | xn:     10 | yn:      179640
Time: 1635000 | rst: 0 | cke: 1 | xn:     10 | yn:      181121
Time: 1655000 | rst: 0 | cke: 1 | xn:     10 | yn:      182588
Time: 1675000 | rst: 0 | cke: 1 | xn:     10 | yn:      184040
Time: 1695000 | rst: 0 | cke: 1 | xn:     10 | yn:      185477
Time: 1715000 | rst: 0 | cke: 1 | xn:     10 | yn:      186900
Time: 1735000 | rst: 0 | cke: 1 | xn:     10 | yn:      188309
Time: 1755000 | rst: 0 | cke: 1 | xn:     10 | yn:      189704
Time: 1775000 | rst: 0 | cke: 1 | xn:     10 | yn:      191085
Time: 1795000 | rst: 0 | cke: 1 | xn:     10 | yn:      192452
Time: 1815000 | rst: 0 | cke: 1 | xn:     10 | yn:      193805
Time: 1835000 | rst: 0 | cke: 1 | xn:     10 | yn:      195145
Time: 1855000 | rst: 0 | cke: 1 | xn:     10 | yn:      196471
Time: 1875000 | rst: 0 | cke: 1 | xn:     10 | yn:      197784
Time: 1895000 | rst: 0 | cke: 1 | xn:     10 | yn:      199084
Time: 1915000 | rst: 0 | cke: 1 | xn:     10 | yn:      200371
Time: 1935000 | rst: 0 | cke: 1 | xn:     10 | yn:      201645
Time: 1955000 | rst: 0 | cke: 1 | xn:     10 | yn:      202906
Time: 1975000 | rst: 0 | cke: 1 | xn:     10 | yn:      204154
Time: 1995000 | rst: 0 | cke: 1 | xn:     10 | yn:      205390
Time: 2015000 | rst: 0 | cke: 1 | xn:     10 | yn:      206614
Time: 2035000 | rst: 0 | cke: 1 | xn:     10 | yn:      207825
Time: 2055000 | rst: 0 | cke: 1 | xn:     10 | yn:      209024
Time: 2075000 | rst: 0 | cke: 1 | xn:     10 | yn:      210211
Time: 2095000 | rst: 0 | cke: 1 | xn:     10 | yn:      211386
Time: 2115000 | rst: 0 | cke: 1 | xn:     10 | yn:      212550
Time: 2135000 | rst: 0 | cke: 1 | xn:     10 | yn:      213702
Time: 2155000 | rst: 0 | cke: 1 | xn:     10 | yn:      214842
Time: 2175000 | rst: 0 | cke: 1 | xn:     10 | yn:      215971
Time: 2195000 | rst: 0 | cke: 1 | xn:     10 | yn:      217089
Time: 2215000 | rst: 0 | cke: 1 | xn:     10 | yn:      218195
Time: 2235000 | rst: 0 | cke: 1 | xn:     10 | yn:      219290
Time: 2255000 | rst: 0 | cke: 1 | xn:     10 | yn:      220374
Time: 2275000 | rst: 0 | cke: 1 | xn:     10 | yn:      221448
Time: 2295000 | rst: 0 | cke: 1 | xn:     10 | yn:      222511
Time: 2315000 | rst: 0 | cke: 1 | xn:     10 | yn:      223563
Time: 2335000 | rst: 0 | cke: 1 | xn:     10 | yn:      224605
Time: 2355000 | rst: 0 | cke: 1 | xn:     10 | yn:      225636
Time: 2375000 | rst: 0 | cke: 1 | xn:     10 | yn:      226657
Time: 2395000 | rst: 0 | cke: 1 | xn:     10 | yn:      227668
Time: 2415000 | rst: 0 | cke: 1 | xn:     10 | yn:      228669
Time: 2435000 | rst: 0 | cke: 1 | xn:     10 | yn:      229660
Time: 2455000 | rst: 0 | cke: 1 | xn:     10 | yn:      230641
Time: 2475000 | rst: 0 | cke: 1 | xn:     10 | yn:      231612
Time: 2495000 | rst: 0 | cke: 1 | xn:     10 | yn:      232573
Time: 2515000 | rst: 0 | cke: 1 | xn:     10 | yn:      233524
Time: 2535000 | rst: 0 | cke: 1 | xn:     10 | yn:      234466
Time: 2555000 | rst: 0 | cke: 1 | xn:     10 | yn:      235399
Time: 2575000 | rst: 0 | cke: 1 | xn:     10 | yn:      236322
Time: 2595000 | rst: 0 | cke: 1 | xn:     10 | yn:      237236
Time: 2615000 | rst: 0 | cke: 1 | xn:     10 | yn:      238141
Time: 2635000 | rst: 0 | cke: 1 | xn:     10 | yn:      239037
Time: 2655000 | rst: 0 | cke: 1 | xn:     10 | yn:      239924
Time: 2675000 | rst: 0 | cke: 1 | xn:     10 | yn:      240802
Time: 2695000 | rst: 0 | cke: 1 | xn:     10 | yn:      241671
Time: 2715000 | rst: 0 | cke: 1 | xn:     10 | yn:      242531
Time: 2735000 | rst: 0 | cke: 1 | xn:     10 | yn:      243383
Time: 2755000 | rst: 0 | cke: 1 | xn:     10 | yn:      244226
Time: 2775000 | rst: 0 | cke: 1 | xn:     10 | yn:      245061
Time: 2795000 | rst: 0 | cke: 1 | xn:     10 | yn:      245887
Time: 2815000 | rst: 0 | cke: 1 | xn:     10 | yn:      246705
Time: 2835000 | rst: 0 | cke: 1 | xn:     10 | yn:      247515
Time: 2855000 | rst: 0 | cke: 1 | xn:     10 | yn:      248317
Time: 2875000 | rst: 0 | cke: 1 | xn:     10 | yn:      249111
Time: 2895000 | rst: 0 | cke: 1 | xn:     10 | yn:      249897
Time: 2915000 | rst: 0 | cke: 1 | xn:     10 | yn:      250675
Time: 2935000 | rst: 0 | cke: 1 | xn:     10 | yn:      251445
Time: 2955000 | rst: 0 | cke: 1 | xn:     10 | yn:      252208
Time: 2975000 | rst: 0 | cke: 1 | xn:     10 | yn:      252963
Time: 2995000 | rst: 0 | cke: 1 | xn:     10 | yn:      253710
Time: 3015000 | rst: 0 | cke: 1 | xn:     10 | yn:      254450
Time: 3035000 | rst: 0 | cke: 1 | xn:     10 | yn:      255183
Time: 3055000 | rst: 0 | cke: 1 | xn:     10 | yn:      255908
Time: 3075000 | rst: 0 | cke: 1 | xn:     10 | yn:      256626
Time: 3095000 | rst: 0 | cke: 1 | xn:     10 | yn:      257337
Time: 3115000 | rst: 0 | cke: 1 | xn:     10 | yn:      258041
Time: 3135000 | rst: 0 | cke: 1 | xn:     10 | yn:      258738
Time: 3155000 | rst: 0 | cke: 1 | xn:     10 | yn:      259428
Time: 3175000 | rst: 0 | cke: 1 | xn:     10 | yn:      260111
Time: 3195000 | rst: 0 | cke: 1 | xn:     10 | yn:      260787
Time: 3215000 | rst: 0 | cke: 1 | xn:     10 | yn:      261456
Time: 3235000 | rst: 0 | cke: 1 | xn:     10 | yn:      262118
Time: 3255000 | rst: 0 | cke: 1 | xn:     10 | yn:      262774
Time: 3275000 | rst: 0 | cke: 1 | xn:     10 | yn:      263423
Time: 3295000 | rst: 0 | cke: 1 | xn:     10 | yn:      264066
Time: 3315000 | rst: 0 | cke: 1 | xn:     10 | yn:      264702
