Iteration,yn
0,0.100000
1,0.199000
2,0.297010
3,0.394040
4,0.490100
5,0.585199
6,0.679347
7,0.772553
8,0.864828
9,0.956179
10,1.046617
11,1.136151
12,1.224790
13,1.312542
14,1.399416
15,1.485422
16,1.570568
17,1.654862
18,1.738314
19,1.820931
20,1.902721
21,1.983694
22,2.063857
23,2.143219
24,2.221786
25,2.299569
26,2.376573
27,2.452807
28,2.528279
29,2.602996
30,2.676966
31,2.750197
32,2.822695
33,2.894468
34,2.965523
35,3.035868
36,3.105509
37,3.174454
38,3.242710
39,3.310282
40,3.377180
41,3.443408
42,3.508974
43,3.573884
44,3.638145
45,3.701764
46,3.764746
47,3.827099
48,3.888828
49,3.949939
50,4.010440
51,4.070336
52,4.129632
53,4.188336
54,4.246453
55,4.303988
56,4.360948
57,4.417339
58,4.473165
59,4.528434
60,4.583149
61,4.637318
62,4.690945
63,4.744035
64,4.796595
65,4.848629
66,4.900143
67,4.951141
68,5.001630
69,5.051613
70,5.101097
71,5.150086
72,5.198585
73,5.246600
74,5.294134
75,5.341192
76,5.387780
77,5.433903
78,5.479563
79,5.524768
80,5.569520
81,5.613825
82,5.657687
83,5.701110
84,5.744099
85,5.786658
86,5.828791
87,5.870503
88,5.911798
89,5.952680
90,5.993153
91,6.033222
92,6.072890
93,6.112161
94,6.151039
95,6.189529
96,6.227634
97,6.265357
98,6.302704
99,6.339677
100,6.376280
101,6.412517
102,6.448392
103,6.483908
104,6.519069
105,6.553878
106,6.588339
107,6.622456
108,6.656231
109,6.689669
110,6.722772
111,6.755545
112,6.787989
113,6.820109
114,6.851908
115,6.883389
116,6.914555
117,6.945410
118,6.975956
119,7.006196
120,7.036134
121,7.065773
122,7.095115
123,7.124164
124,7.152922
125,7.181393
126,7.209579
127,7.237483
128,7.265108
129,7.292457
130,7.319533
131,7.346338
132,7.372874
133,7.399145
134,7.425154
135,7.450902
136,7.476393
137,7.501629
138,7.526613
139,7.551347
140,7.575834
141,7.600075
142,7.624074
143,7.647834
144,7.671355
145,7.694642
146,7.717695
147,7.740518
148,7.763113
149,7.785482
150,7.807627
151,7.829551
152,7.851256
153,7.872743
154,7.894016
155,7.915075
156,7.935925
157,7.956565
158,7.977000
159,7.997230
160,8.017257
161,8.037085
162,8.056714
163,8.076147
164,8.095385
165,8.114432
166,8.133287
167,8.151954
168,8.170435
169,8.188730
170,8.206843
171,8.224775
172,8.242527
173,8.260102
174,8.277501
175,8.294726
176,8.311778
177,8.328661
178,8.345374
179,8.361920
180,8.378301
181,8.394518
182,8.410573
183,8.426467
184,8.442203
185,8.457780
186,8.473203
187,8.488471
188,8.503586
189,8.518550
190,8.533365
191,8.548031
192,8.562551
193,8.576925
194,8.591156
195,8.605244
196,8.619192
197,8.633000
